"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2018-12-26 12:10:09","118.70 ± 1.00","190.33","n/a","n/a","n/a"
"2018-12-26 00:10:10","118.00 ± 1.00","190.33","n/a","n/a","n/a"
"2018-12-25 12:10:10","118.37 ± 1.00","190.00","n/a","n/a","n/a"
"2018-12-25 00:10:09","118.60 ± 1.00","190.00","n/a","n/a","n/a"
"2018-12-24 12:10:09","118.30 ± 1.00","189.67","n/a","n/a","n/a"
"2018-12-24 00:10:10","118.00 ± 1.00","190.00","n/a","n/a","n/a"
"2018-12-23 12:10:09","118.27 ± 1.00","190.00","n/a","n/a","n/a"
"2018-12-23 00:10:09","118.40 ± 1.00","190.67","-24.3","113.01 ± 1.00","88.79 ± 1.00"
"2018-12-22 12:10:09","117.80 ± 1.00","190.00","-23.1","112.71 ± 1.00","89.09 ± 1.00"
"2018-12-22 00:10:10","117.60 ± 1.00","191.33","-22.0","112.76 ± 1.00","89.04 ± 1.00"
"2018-12-21 12:10:09","117.37 ± 1.00","190.67","-20.7","112.83 ± 1.00","88.97 ± 1.00"
"2018-12-21 00:10:09","116.90 ± 1.00","190.67","-19.3","112.69 ± 1.00","89.11 ± 1.00"
"2018-12-20 12:10:10","116.77 ± 1.00","190.00","-17.9","112.88 ± 1.00","88.92 ± 1.00"
"2018-12-20 00:10:09","115.33 ± 1.00","189.67","-13.0","112.56 ± 1.00","89.24 ± 1.00"
"2018-12-19 12:10:09","116.50 ± 1.00","191.33","-18.8","112.42 ± 1.00","89.38 ± 1.00"
"2018-12-19 00:10:09","117.50 ± 1.00","190.00","-23.2","112.40 ± 1.00","89.40 ± 1.00"
"2018-12-18 12:10:10","117.43 ± 1.00","191.00","-22.6","112.47 ± 1.00","89.33 ± 1.00"
"2018-12-18 00:10:10","117.10 ± 1.00","191.33","-21.6","112.37 ± 1.00","89.43 ± 1.00"
"2018-12-17 12:10:09","117.10 ± 1.00","191.00","-21.8","112.33 ± 1.00","89.47 ± 1.00"
"2018-12-17 00:10:09","116.70 ± 1.00","190.67","-20.3","112.28 ± 1.00","89.52 ± 1.00"
"2018-12-16 12:10:10","117.10 ± 1.00","190.00","-21.7","112.35 ± 1.00","89.45 ± 1.00"
"2018-12-16 00:10:09","117.10 ± 1.00","190.67","-22.1","112.26 ± 1.00","89.54 ± 1.00"
"2018-12-15 12:10:09","116.50 ± 1.00","190.33","-19.5","112.26 ± 1.00","89.54 ± 1.00"
"2018-12-15 00:10:09","116.60 ± 1.00","189.33","-20.5","112.14 ± 1.00","89.66 ± 1.00"
"2018-12-14 12:10:10","116.70 ± 1.00","190.00","-21.4","112.04 ± 1.00","89.76 ± 1.00"
"2018-12-14 07:45:39","115.90 ± 1.00","190.33","-18.2","111.97 ± 1.00","89.83 ± 1.00"
"2018-12-14 07:40:10","115.90 ± 1.00","190.00","-18.2","111.97 ± 1.00","89.83 ± 1.00"
"2018-12-14 07:38:11","115.90 ± 1.00","190.33","-18.1","111.99 ± 1.00","89.81 ± 1.00"
"2018-12-13 07:17:01","120.53 ± 1.00","182.67","-17.8","116.54 ± 1.00","85.26 ± 1.00"
"2018-12-13 07:16:26","120.57 ± 1.00","181.33","-17.8","116.57 ± 1.00","85.23 ± 1.00"
"2018-12-13 06:46:54","120.50 ± 1.00","168.00","-18.6","116.32 ± 1.00","85.48 ± 1.00"
"2018-11-26 00:10:09","124.70 ± 1.00","170.67","-31.6","117.27 ± 1.00","84.53 ± 1.00"
"2018-11-25 12:10:10","124.80 ± 1.00","181.00","-31.3","117.43 ± 1.00","84.37 ± 1.00"
"2018-11-25 00:10:09","124.07 ± 1.00","181.67","-28.7","117.37 ± 1.00","84.43 ± 1.00"
"2018-11-24 12:10:10","123.90 ± 1.00","176.67","-28.4","117.28 ± 1.00","84.52 ± 1.00"
"2018-11-24 00:10:09","123.90 ± 1.00","184.67","-28.5","117.26 ± 1.00","84.54 ± 1.00"
"2018-11-23 12:10:10","124.10 ± 1.00","174.00","-29.4","117.23 ± 1.00","84.57 ± 1.00"
"2018-11-23 00:10:09","124.10 ± 1.00","181.33","-29.7","117.16 ± 1.00","84.64 ± 1.00"
"2018-11-22 12:10:10","123.57 ± 1.00","180.33","-28.2","117.01 ± 1.00","84.79 ± 1.00"
"2018-11-22 00:10:09","123.50 ± 1.00","175.00","-28.1","116.98 ± 1.00","84.82 ± 1.00"
"2018-11-21 12:10:10","123.43 ± 1.00","183.33","-27.5","117.06 ± 1.00","84.74 ± 1.00"
"2018-11-21 00:10:09","123.20 ± 1.00","193.33","-27.1","116.93 ± 1.00","84.87 ± 1.00"
"2018-11-20 12:10:09","123.60 ± 1.00","184.67","-28.6","116.95 ± 1.00","84.85 ± 1.00"
"2018-11-20 00:10:10","124.63 ± 1.00","173.00","-32.3","117.03 ± 1.00","84.77 ± 1.00"
"2018-11-19 12:10:09","125.40 ± 1.00","223.00","-37.0","116.60 ± 1.00","85.20 ± 1.00"
"2018-11-19 00:10:09","125.40 ± 1.00","180.33","-38.2","116.30 ± 1.00","85.50 ± 1.00"
"2018-11-18 12:10:10","126.90 ± 1.00","189.00","-40.8","117.04 ± 1.00","84.76 ± 1.00"
"2018-11-18 00:10:09","126.90 ± 1.00","187.67","-41.5","116.86 ± 1.00","84.94 ± 1.00"
"2018-11-17 12:10:10","127.10 ± 1.00","188.33","-41.9","116.95 ± 1.00","84.85 ± 1.00"
"2018-11-17 00:10:10","127.23 ± 1.00","188.67","-42.5","116.92 ± 1.00","84.88 ± 1.00"
"2018-11-16 12:10:10","127.10 ± 1.00","185.67","-41.7","117.00 ± 1.00","84.80 ± 1.00"
"2018-11-16 00:10:09","127.00 ± 1.00","188.33","-41.6","116.93 ± 1.00","84.87 ± 1.00"
"2018-11-15 12:10:09","126.93 ± 1.00","186.00","-41.0","117.02 ± 1.00","84.78 ± 1.00"
"2018-11-15 00:10:09","126.77 ± 1.00","187.33","-41.1","116.84 ± 1.00","84.96 ± 1.00"
"2018-11-14 12:10:10","126.90 ± 1.00","188.33","-41.5","116.86 ± 1.00","84.94 ± 1.00"
"2018-11-14 00:10:09","126.80 ± 1.00","180.67","-41.1","116.87 ± 1.00","84.93 ± 1.00"
"2018-11-13 12:10:10","126.73 ± 1.00","182.33","-40.2","117.04 ± 1.00","84.76 ± 1.00"
"2018-11-13 00:10:09","126.67 ± 1.00","201.67","-39.7","117.10 ± 1.00","84.70 ± 1.00"
"2018-11-12 12:10:09","125.93 ± 1.00","210.33","-39.8","116.40 ± 1.00","85.40 ± 1.00"
"2018-11-12 00:10:09","126.27 ± 1.00","193.67","-38.5","117.03 ± 1.00","84.77 ± 1.00"
"2018-11-11 12:10:10","125.80 ± 1.00","192.00","-35.8","117.27 ± 1.00","84.53 ± 1.00"
"2018-11-11 00:10:10","124.10 ± 1.00","188.00","-31.8","116.65 ± 1.00","85.15 ± 1.00"
"2018-11-10 12:10:10","124.10 ± 1.00","179.00","-31.5","116.73 ± 1.00","85.07 ± 1.00"
"2018-11-10 00:10:09","125.40 ± 1.00","170.33","-35.8","116.89 ± 1.00","84.91 ± 1.00"
"2018-11-09 12:10:10","124.93 ± 1.00","172.67","-34.2","116.85 ± 1.00","84.95 ± 1.00"
"2018-11-09 00:10:09","125.07 ± 1.00","267.00","-36.9","116.31 ± 1.00","85.49 ± 1.00"
"2018-11-08 12:10:09","124.33 ± 1.00","190.67","-41.0","114.62 ± 1.00","87.18 ± 1.00"
"2018-11-08 00:10:10","126.57 ± 1.00","196.00","-42.0","116.43 ± 1.00","85.37 ± 1.00"
"2018-11-07 12:10:10","126.30 ± 1.00","196.67","-41.0","116.44 ± 1.00","85.36 ± 1.00"
"2018-11-07 00:10:09","126.90 ± 1.00","196.67","-43.5","116.36 ± 1.00","85.44 ± 1.00"
"2018-11-06 12:10:10","127.80 ± 1.00","198.00","-46.5","116.41 ± 1.00","85.39 ± 1.00"
"2018-11-06 00:10:09","128.33 ± 1.00","200.67","-48.5","116.38 ± 1.00","85.42 ± 1.00"
"2018-11-05 12:10:09","128.57 ± 1.00","204.33","-49.0","116.47 ± 1.00","85.33 ± 1.00"
"2018-11-05 00:10:10","128.93 ± 1.00","205.00","-50.4","116.43 ± 1.00","85.37 ± 1.00"
"2018-11-04 12:10:09","129.00 ± 1.00","206.33","-51.1","116.31 ± 1.00","85.49 ± 1.00"
"2018-11-04 00:10:10","129.10 ± 1.00","201.67","-50.7","116.50 ± 1.00","85.30 ± 1.00"
"2018-11-03 12:10:10","128.53 ± 1.00","217.67","-50.7","115.99 ± 1.00","85.81 ± 1.00"
"2018-11-03 00:10:09","128.60 ± 1.00","214.67","-50.9","116.00 ± 1.00","85.80 ± 1.00"
"2018-11-02 12:10:09","129.03 ± 1.00","215.67","-51.2","116.31 ± 1.00","85.49 ± 1.00"
"2018-11-02 00:10:09","129.00 ± 1.00","210.00","-51.3","116.26 ± 1.00","85.54 ± 1.00"
"2018-11-01 12:10:10","128.60 ± 1.00","216.33","-50.6","116.08 ± 1.00","85.72 ± 1.00"
"2018-11-01 00:10:10","128.70 ± 1.00","203.00","-50.0","116.33 ± 1.00","85.47 ± 1.00"
"2018-10-31 12:10:10","128.30 ± 1.00","202.67","-48.1","116.46 ± 1.00","85.34 ± 1.00"
"2018-10-31 00:10:10","128.00 ± 1.00","204.00","-47.6","116.31 ± 1.00","85.49 ± 1.00"
"2018-10-30 12:10:10","128.10 ± 1.00","209.67","-48.1","116.28 ± 1.00","85.52 ± 1.00"
"2018-10-30 00:10:09","127.20 ± 1.00","203.33","-44.8","116.30 ± 1.00","85.50 ± 1.00"
"2018-10-29 12:10:10","126.83 ± 1.00","204.33","-43.8","116.22 ± 1.00","85.58 ± 1.00"
"2018-10-29 00:10:09","126.90 ± 1.00","201.33","-43.9","116.26 ± 1.00","85.54 ± 1.00"
"2018-10-28 12:10:10","126.23 ± 1.00","205.33","-41.2","116.32 ± 1.00","85.48 ± 1.00"
"2018-10-28 00:10:09","126.30 ± 1.00","202.67","-42.6","116.03 ± 1.00","85.77 ± 1.00"
"2018-10-27 12:10:10","125.20 ± 1.00","200.67","-37.4","116.31 ± 1.00","85.49 ± 1.00"
"2018-10-27 00:10:10","126.80 ± 1.00","208.33","-42.9","116.42 ± 1.00","85.38 ± 1.00"
"2018-10-26 12:10:10","125.50 ± 1.00","195.00","-40.9","115.72 ± 1.00","86.08 ± 1.00"
"2018-10-26 00:10:09","124.20 ± 1.00","175.33","-41.7","114.33 ± 1.00","87.47 ± 1.00"
"2018-10-25 12:10:10","131.30 ± 1.00","168.33","-44.9","120.02 ± 1.00","81.78 ± 1.00"
"2018-10-25 00:10:10","135.93 ± 1.00","193.00","-46.6","123.80 ± 1.00","78.00 ± 1.00"
"2018-10-24 12:10:10","136.47 ± 1.00","197.00","-48.3","123.81 ± 1.00","77.99 ± 1.00"
"2018-10-24 00:10:09","135.90 ± 1.00","188.33","-46.6","123.77 ± 1.00","78.03 ± 1.00"
"2018-10-23 12:10:10","135.27 ± 1.00","189.00","-44.3","123.81 ± 1.00","77.99 ± 1.00"
"2018-10-23 00:10:09","135.00 ± 1.00","201.67","-43.3","123.84 ± 1.00","77.96 ± 1.00"
"2018-10-22 12:10:09","134.70 ± 1.00","189.67","-42.5","123.78 ± 1.00","78.02 ± 1.00"
"2018-10-22 00:10:09","135.70 ± 1.00","171.00","-45.5","123.88 ± 1.00","77.92 ± 1.00"
"2018-10-21 12:10:09","134.50 ± 1.00","191.67","-42.4","123.62 ± 1.00","78.18 ± 1.00"
"2018-10-21 00:10:09","135.37 ± 1.00","193.67","-46.2","123.39 ± 1.00","78.41 ± 1.00"
"2018-10-20 12:10:10","136.57 ± 1.00","195.33","-49.3","123.63 ± 1.00","78.17 ± 1.00"
"2018-10-20 00:10:10","135.90 ± 1.00","195.00","-47.6","123.49 ± 1.00","78.31 ± 1.00"
"2018-10-19 12:10:09","136.63 ± 1.00","195.00","-48.8","123.83 ± 1.00","77.97 ± 1.00"
"2018-10-19 00:10:10","135.50 ± 1.00","193.67","-45.5","123.70 ± 1.00","78.10 ± 1.00"
"2018-10-18 12:10:09","135.30 ± 1.00","187.33","-45.2","123.60 ± 1.00","78.20 ± 1.00"
"2018-10-18 00:10:10","137.30 ± 1.00","195.33","-50.8","123.88 ± 1.00","77.92 ± 1.00"
"2018-10-17 12:10:10","136.97 ± 1.00","194.00","-50.5","123.66 ± 1.00","78.14 ± 1.00"
"2018-10-17 00:10:09","139.27 ± 1.00","199.00","-57.5","123.74 ± 1.00","78.06 ± 1.00"
"2018-10-16 12:10:09","139.87 ± 1.00","196.00","-59.2","123.79 ± 1.00","78.01 ± 1.00"
"2018-10-16 00:10:10","139.70 ± 1.00","197.00","-58.4","123.87 ± 1.00","77.93 ± 1.00"
"2018-10-15 12:10:10","138.90 ± 1.00","196.33","-55.5","123.99 ± 1.00","77.81 ± 1.00"
"2018-10-15 00:10:09","138.50 ± 1.00","197.00","-54.8","123.83 ± 1.00","77.97 ± 1.00"
"2018-10-14 12:10:09","138.40 ± 1.00","195.67","-54.3","123.88 ± 1.00","77.92 ± 1.00"
"2018-10-14 00:10:09","135.23 ± 1.00","193.00","-46.9","123.08 ± 1.00","78.72 ± 1.00"
"2018-10-13 12:10:10","133.07 ± 1.00","181.67","-37.1","123.70 ± 1.00","78.10 ± 1.00"
"2018-10-13 00:10:09","132.17 ± 1.00","196.00","-34.1","123.64 ± 1.00","78.16 ± 1.00"
"2018-10-12 12:10:09","131.17 ± 1.00","168.67","-30.6","123.60 ± 1.00","78.20 ± 1.00"
"2018-10-12 00:10:10","132.20 ± 1.00","169.00","-34.4","123.60 ± 1.00","78.20 ± 1.00"
"2018-10-11 12:10:09","132.07 ± 1.00","168.67","-33.9","123.60 ± 1.00","78.20 ± 1.00"
"2018-10-11 00:10:09","132.50 ± 1.00","169.33","-35.1","123.69 ± 1.00","78.11 ± 1.00"
"2018-10-10 12:10:09","133.03 ± 1.00","182.67","-37.0","123.70 ± 1.00","78.10 ± 1.00"
"2018-10-10 00:10:10","133.17 ± 1.00","190.67","-37.0","123.82 ± 1.00","77.98 ± 1.00"
"2018-10-09 12:10:09","133.93 ± 1.00","219.33","-39.5","123.87 ± 1.00","77.93 ± 1.00"
"2018-10-09 00:10:09","134.53 ± 1.00","234.33","-41.9","123.79 ± 1.00","78.01 ± 1.00"
"2018-09-25 12:10:10","141.50 ± 1.00","230.67","-63.6","123.94 ± 1.00","77.86 ± 1.00"
"2018-09-25 00:10:09","150.87 ± 1.00","266.67","-61.3","132.86 ± 1.00","68.94 ± 1.00"
"2018-09-24 12:10:10","150.77 ± 1.00","215.67","-60.0","133.18 ± 1.00","68.62 ± 1.00"
"2018-09-23 00:10:09","145.57 ± 1.00","297.33","-52.4","130.86 ± 1.00","70.94 ± 1.00"
"2018-09-22 12:10:09","145.50 ± 1.00","201.67","-50.4","131.39 ± 1.00","70.41 ± 1.00"
"2018-09-22 00:10:10","144.73 ± 1.00","247.00","-51.7","130.32 ± 1.00","71.48 ± 1.00"
"2018-09-21 12:10:10","148.20 ± 1.00","204.67","-52.4","133.23 ± 1.00","68.57 ± 1.00"
"2018-09-21 00:10:10","149.63 ± 1.00","213.00","-57.0","133.11 ± 1.00","68.69 ± 1.00"
"2018-09-20 12:10:10","149.73 ± 1.00","204.67","-56.9","133.23 ± 1.00","68.57 ± 1.00"
"2018-09-14 12:10:09","144.00 ± 1.00","264.33","-71.4","123.76 ± 1.00","78.04 ± 1.00"
"2018-09-13 12:10:10","144.33 ± 1.00","263.00","-67.6","125.21 ± 1.00","76.59 ± 1.00"
"2018-09-12 12:10:09","141.70 ± 1.00","210.67","-62.2","124.53 ± 1.00","77.27 ± 1.00"
"2018-09-12 00:10:10","141.67 ± 1.00","219.67","-62.0","124.56 ± 1.00","77.24 ± 1.00"
"2018-09-11 12:10:10","141.70 ± 1.00","222.33","-62.6","124.41 ± 1.00","77.39 ± 1.00"
"2018-09-11 00:10:09","152.30 ± 1.00","206.33","-65.1","132.92 ± 1.00","68.88 ± 1.00"
"2018-09-10 12:10:10","153.47 ± 1.00","203.33","-67.8","133.06 ± 1.00","68.74 ± 1.00"
"2018-09-10 00:10:09","153.27 ± 1.00","204.67","-67.5","132.99 ± 1.00","68.81 ± 1.00"
"2018-09-09 12:10:10","154.20 ± 1.00","205.00","-70.3","132.88 ± 1.00","68.92 ± 1.00"
"2018-09-09 00:10:10","153.70 ± 1.00","203.67","-68.5","133.04 ± 1.00","68.76 ± 1.00"
"2018-09-08 12:10:10","152.93 ± 1.00","204.33","-66.7","132.96 ± 1.00","68.84 ± 1.00"
"2018-09-08 00:10:09","151.10 ± 1.00","205.00","-61.5","133.01 ± 1.00","68.79 ± 1.00"
"2018-09-07 12:10:09","151.27 ± 1.00","206.00","-64.5","132.21 ± 1.00","69.59 ± 1.00"
"2018-09-07 00:10:10","152.23 ± 1.00","219.00","-65.3","132.80 ± 1.00","69.00 ± 1.00"
"2018-09-06 12:10:10","145.73 ± 1.00","199.00","-65.5","127.06 ± 1.00","74.74 ± 1.00"
"2018-09-06 00:10:10","153.07 ± 1.00","207.00","-67.0","132.98 ± 1.00","68.82 ± 1.00"
"2018-09-05 12:10:09","155.43 ± 1.00","204.67","-74.3","132.62 ± 1.00","69.18 ± 1.00"
"2018-09-05 00:10:10","155.23 ± 1.00","204.00","-72.9","132.91 ± 1.00","68.89 ± 1.00"
"2018-09-04 00:10:10","152.90 ± 1.00","207.33","-66.3","133.06 ± 1.00","68.74 ± 1.00"
"2018-09-03 12:10:10","152.70 ± 1.00","207.67","-68.1","132.30 ± 1.00","69.50 ± 1.00"
"2018-09-03 00:10:09","152.80 ± 1.00","203.00","-66.0","133.07 ± 1.00","68.73 ± 1.00"
"2018-09-02 12:10:10","152.27 ± 1.00","205.33","-65.4","132.79 ± 1.00","69.01 ± 1.00"
"2018-09-02 00:10:09","150.60 ± 1.00","206.00","-59.8","133.10 ± 1.00","68.70 ± 1.00"
"2018-09-01 12:10:09","149.30 ± 1.00","204.00","-54.9","133.46 ± 1.00","68.34 ± 1.00"
"2018-09-01 00:10:10","143.03 ± 1.00","182.33","-56.6","127.35 ± 1.00","74.45 ± 1.00"
"2018-08-15 00:10:10","141.07 ± 1.00","268.33","-44.5","129.07 ± 1.00","72.73 ± 1.00"
"2018-08-14 12:10:09","141.33 ± 1.00","197.67","-48.2","128.26 ± 1.00","73.54 ± 1.00"
"2018-08-13 12:10:10","147.80 ± 1.00","178.00","-51.4","133.17 ± 1.00","68.63 ± 1.00"
"2018-08-13 00:10:10","148.27 ± 1.00","215.33","-53.5","132.96 ± 1.00","68.84 ± 1.00"
"2018-08-12 12:10:09","146.43 ± 1.00","176.67","-46.4","133.42 ± 1.00","68.38 ± 1.00"
"2018-08-12 00:10:09","141.93 ± 1.00","236.00","-43.2","130.23 ± 1.00","71.57 ± 1.00"
"2018-08-11 12:10:10","142.70 ± 1.00","242.33","-48.3","129.47 ± 1.00","72.33 ± 1.00"
"2018-08-11 00:10:10","142.10 ± 1.00","203.67","-49.3","128.64 ± 1.00","73.16 ± 1.00"
"2018-08-10 12:10:09","148.57 ± 1.00","222.33","-47.1","135.15 ± 1.00","66.65 ± 1.00"
"2018-08-10 00:10:10","144.17 ± 1.00","254.00","-48.2","130.83 ± 1.00","70.97 ± 1.00"
"2018-08-09 00:10:09","148.87 ± 1.00","248.33","-51.0","134.25 ± 1.00","67.55 ± 1.00"
"2018-08-07 00:10:09","147.30 ± 1.00","178.33","-49.6","133.26 ± 1.00","68.54 ± 1.00"
"2018-08-06 12:10:10","143.50 ± 1.00","278.00","-47.8","130.34 ± 1.00","71.46 ± 1.00"
"2018-08-06 00:10:10","144.03 ± 1.00","233.00","-54.2","128.95 ± 1.00","72.85 ± 1.00"
"2018-08-05 12:10:10","148.60 ± 1.00","198.00","-54.1","133.07 ± 1.00","68.73 ± 1.00"
"2018-08-04 12:10:09","147.97 ± 1.00","187.00","-51.3","133.35 ± 1.00","68.45 ± 1.00"
"2018-08-04 00:10:09","135.50 ± 1.00","272.67","-50.2","122.42 ± 1.00","79.38 ± 1.00"
"2018-08-03 00:10:09","147.97 ± 1.00","184.33","-51.5","133.29 ± 1.00","68.51 ± 1.00"
"2018-08-02 12:10:09","140.90 ± 1.00","209.00","-53.3","126.41 ± 1.00","75.39 ± 1.00"
"2018-08-02 00:10:09","149.40 ± 1.00","182.67","-56.0","133.21 ± 1.00","68.59 ± 1.00"
"2018-08-01 12:10:09","150.13 ± 1.00","187.67","-58.3","133.15 ± 1.00","68.65 ± 1.00"
"2018-08-01 00:10:10","149.30 ± 1.00","179.33","-56.9","132.84 ± 1.00","68.96 ± 1.00"
"2018-07-31 12:10:09","148.63 ± 1.00","179.67","-55.0","132.83 ± 1.00","68.97 ± 1.00"
"2018-07-31 00:10:09","149.70 ± 1.00","181.00","-56.6","133.29 ± 1.00","68.51 ± 1.00"
"2018-07-30 12:10:10","149.23 ± 1.00","179.33","-56.9","132.78 ± 1.00","69.02 ± 1.00"
"2018-07-30 00:10:10","147.20 ± 1.00","177.33","-49.5","133.20 ± 1.00","68.60 ± 1.00"
"2018-07-29 12:10:10","146.60 ± 1.00","180.67","-49.3","132.71 ± 1.00","69.09 ± 1.00"
"2018-07-29 00:10:09","147.57 ± 1.00","179.33","-50.8","133.14 ± 1.00","68.66 ± 1.00"
"2018-07-28 00:10:09","144.67 ± 1.00","175.00","-41.0","133.37 ± 1.00","68.43 ± 1.00"
"2018-07-27 00:10:09","114.10 ± 1.00","206.33","-49.9","103.15 ± 1.00","98.65 ± 1.00"
"2018-07-26 12:10:09","147.50 ± 1.00","178.67","-49.9","133.35 ± 1.00","68.45 ± 1.00"
"2018-07-26 00:10:09","149.40 ± 1.00","179.00","-56.3","133.12 ± 1.00","68.68 ± 1.00"
"2018-07-25 00:10:09","148.73 ± 1.00","190.00","-56.1","132.58 ± 1.00","69.22 ± 1.00"
"2018-07-24 12:10:10","147.33 ± 1.00","178.67","-49.9","133.20 ± 1.00","68.60 ± 1.00"
"2018-07-24 00:10:09","148.73 ± 1.00","179.33","-53.8","133.28 ± 1.00","68.52 ± 1.00"
"2018-07-23 12:10:09","150.93 ± 1.00","184.67","-61.8","132.77 ± 1.00","69.03 ± 1.00"
"2018-07-23 00:10:10","152.60 ± 1.00","192.00","-65.9","132.92 ± 1.00","68.88 ± 1.00"
"2018-07-22 12:10:10","153.63 ± 1.00","194.67","-68.9","132.85 ± 1.00","68.95 ± 1.00"
"2018-07-22 00:10:09","152.13 ± 1.00","179.33","-64.5","132.96 ± 1.00","68.84 ± 1.00"
"2018-07-21 12:10:09","151.33 ± 1.00","187.00","-62.6","132.87 ± 1.00","68.93 ± 1.00"
"2018-07-21 00:10:09","149.20 ± 1.00","179.00","-56.1","133.00 ± 1.00","68.80 ± 1.00"
"2018-07-20 12:10:10","149.60 ± 1.00","179.00","-57.4","132.96 ± 1.00","68.84 ± 1.00"
"2018-07-20 00:10:10","148.97 ± 1.00","180.33","-54.9","133.16 ± 1.00","68.64 ± 1.00"
"2018-07-19 12:10:10","149.97 ± 1.00","199.67","-58.1","133.07 ± 1.00","68.73 ± 1.00"
"2018-07-19 00:10:09","148.03 ± 1.00","202.67","-59.8","130.83 ± 1.00","70.97 ± 1.00"
"2018-07-18 12:10:10","146.97 ± 1.00","235.00","-57.2","130.68 ± 1.00","71.12 ± 1.00"
"2018-07-17 12:10:09","150.40 ± 1.00","190.00","-59.6","132.98 ± 1.00","68.82 ± 1.00"
"2018-07-17 00:10:09","151.03 ± 1.00","186.00","-61.8","132.85 ± 1.00","68.95 ± 1.00"
"2018-07-16 12:10:09","151.90 ± 1.00","179.33","-63.8","132.98 ± 1.00","68.82 ± 1.00"
"2018-07-16 00:10:10","151.10 ± 1.00","184.67","-61.7","132.94 ± 1.00","68.86 ± 1.00"
"2018-07-15 12:10:09","151.73 ± 1.00","184.67","-63.3","132.99 ± 1.00","68.81 ± 1.00"
"2018-07-15 00:10:10","150.63 ± 1.00","179.00","-60.7","132.85 ± 1.00","68.95 ± 1.00"
"2018-07-14 12:10:09","149.20 ± 1.00","177.00","-56.1","133.00 ± 1.00","68.80 ± 1.00"
"2018-07-14 00:10:10","149.47 ± 1.00","180.33","-56.8","133.02 ± 1.00","68.78 ± 1.00"
"2018-07-13 12:10:09","149.00 ± 1.00","179.00","-55.3","133.07 ± 1.00","68.73 ± 1.00"
"2018-07-13 00:10:09","150.23 ± 1.00","186.33","-58.9","133.05 ± 1.00","68.75 ± 1.00"
"2018-07-12 12:10:10","152.73 ± 1.00","203.33","-65.6","133.14 ± 1.00","68.66 ± 1.00"
"2018-07-12 00:10:09","154.27 ± 1.00","201.67","-69.9","133.07 ± 1.00","68.73 ± 1.00"
"2018-07-11 12:10:09","154.80 ± 1.00","200.67","-73.1","132.48 ± 1.00","69.32 ± 1.00"
"2018-07-11 00:10:09","152.20 ± 1.00","188.33","-66.0","132.54 ± 1.00","69.26 ± 1.00"
"2018-07-10 12:10:09","152.57 ± 1.00","190.67","-67.7","132.32 ± 1.00","69.48 ± 1.00"
"2018-07-10 00:10:10","152.30 ± 1.00","183.33","-66.5","132.47 ± 1.00","69.33 ± 1.00"
"2018-07-09 12:10:09","151.10 ± 1.00","180.33","-62.1","132.82 ± 1.00","68.98 ± 1.00"
"2018-07-09 00:10:09","150.70 ± 1.00","178.67","-61.4","132.69 ± 1.00","69.11 ± 1.00"
"2018-07-08 12:10:10","152.30 ± 1.00","196.00","-65.6","132.76 ± 1.00","69.04 ± 1.00"
"2018-07-08 00:10:09","151.90 ± 1.00","191.33","-64.5","132.76 ± 1.00","69.04 ± 1.00"
"2018-07-07 12:10:10","153.97 ± 1.00","201.67","-70.3","132.68 ± 1.00","69.12 ± 1.00"
"2018-07-07 00:10:09","154.67 ± 1.00","201.33","-71.6","132.86 ± 1.00","68.94 ± 1.00"
"2018-07-06 12:10:09","154.10 ± 1.00","198.00","-70.2","132.83 ± 1.00","68.97 ± 1.00"
"2018-07-06 00:10:10","149.80 ± 1.00","179.33","-58.0","132.95 ± 1.00","68.85 ± 1.00"
"2018-07-05 12:10:10","148.27 ± 1.00","179.00","-53.5","132.96 ± 1.00","68.84 ± 1.00"
"2018-07-05 00:10:09","148.57 ± 1.00","180.00","-54.9","132.80 ± 1.00","69.00 ± 1.00"
"2018-07-04 12:10:10","150.27 ± 1.00","176.67","-59.3","132.96 ± 1.00","68.84 ± 1.00"
"2018-07-04 00:10:09","151.87 ± 1.00","178.00","-63.6","133.02 ± 1.00","68.78 ± 1.00"
"2018-07-03 12:10:09","146.33 ± 1.00","186.00","-48.2","132.80 ± 1.00","69.00 ± 1.00"
"2018-07-03 00:10:09","148.73 ± 1.00","186.33","-54.9","132.95 ± 1.00","68.85 ± 1.00"
"2018-07-02 12:10:09","151.30 ± 1.00","179.33","-62.3","132.93 ± 1.00","68.87 ± 1.00"
"2018-07-02 00:10:10","151.03 ± 1.00","176.33","-61.1","133.07 ± 1.00","68.73 ± 1.00"
"2018-07-01 12:10:10","151.53 ± 1.00","177.67","-63.2","132.85 ± 1.00","68.95 ± 1.00"
"2018-07-01 00:10:09","151.70 ± 1.00","178.33","-63.8","132.81 ± 1.00","68.99 ± 1.00"
"2018-06-30 12:10:10","151.87 ± 1.00","178.33","-64.5","132.73 ± 1.00","69.07 ± 1.00"
"2018-06-30 00:10:09","151.77 ± 1.00","179.00","-64.3","132.71 ± 1.00","69.09 ± 1.00"
"2018-06-29 12:10:10","151.80 ± 1.00","182.33","-64.2","132.77 ± 1.00","69.03 ± 1.00"
"2018-06-29 00:10:09","151.53 ± 1.00","180.67","-63.4","132.79 ± 1.00","69.01 ± 1.00"
